City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,broken hill,-31.95,141.4333,17.06,28,98,1.69,AU,1722657966
83,aasiaat,68.7098,-52.8699,0.62,88,49,1.35,GL,1722657966
84,saudarkrokur,65.7461,-19.6394,9.5,86,96,2.0,IS,1722657672
85,kodiak,57.79,-152.4072,13.73,82,0,5.14,US,1722657966
86,qarazhal,48.0078,70.7903,25.77,38,8,7.27,KZ,1722657966
87,oneonta,42.4529,-75.0638,21.83,98,78,0.78,US,1722657967
88,korhogo,9.45,-5.6333,20.98,96,90,2.67,CI,1722657967
89,vorgashor,67.5833,63.95,20.07,53,50,7.76,RU,1722657967
90,hadibu,12.65,54.0333,26.28,78,70,11.94,YE,1722657967
91,chonchi,-42.6128,-73.8092,6.73,94,100,2.97,CL,1722657967
92,mar del plata,-38.0023,-57.5575,15.01,92,100,5.14,AR,1722657568
93,kavieng,-2.5744,150.7967,26.46,86,100,7.53,PG,1722657967
94,napili-honokowai,20.9708,-156.6705,26.51,77,92,4.93,US,1722657967
95,volokonovka,50.4827,37.8563,19.06,52,30,1.3,RU,1722657967
96,avarua,-21.2078,-159.775,22.03,60,29,2.06,CK,1722657968
97,cidreira,-30.1811,-50.2056,15.74,92,0,6.09,BR,1722657684
98,botou,38.0667,116.5667,33.97,60,25,4.38,CN,1722657968
99,bahia honda,22.9036,-83.1592,26.62,89,77,3.1,CU,1722657968
100,khandyga,62.6667,135.6,18.45,42,10,1.94,RU,1722657968
101,douentza,14.9951,-2.9517,27.82,69,83,2.77,ML,1722657968
102,fuyu,45.1833,124.8167,27.22,61,89,1.37,CN,1722657968
103,istgah-e rah ahan-e garmsar,35.2346,52.3094,33.81,23,27,5.93,IR,1722657968
104,laguna,38.421,-121.4238,32.47,32,0,2.57,US,1722657968
105,kone,-21.0595,164.8658,21.65,54,0,5.14,NC,1722657969
106,port mathurin,-19.6833,63.4167,22.08,65,41,4.38,MU,1722657969
107,muisne,0.6,-80.0333,24.29,87,100,3.23,EC,1722657969
108,udachny,66.4167,112.4,18.97,47,100,1.39,RU,1722657678
109,holualoa,19.6228,-155.9522,25.91,78,75,3.09,US,1722657969
110,margaret river,-33.95,115.0667,14.43,63,32,2.65,AU,1722657969
111,horta,38.5333,-28.6333,22.77,78,27,1.67,PT,1722657969
112,haiku-pauwela,20.9219,-156.3051,25.14,90,75,4.63,US,1722657971
113,yelizovo,53.1873,158.3805,22.08,60,75,3.0,RU,1722657971
114,kapuskasing,49.4169,-82.4331,21.05,77,20,2.06,CA,1722657971
115,boguchany,58.3814,97.4531,16.19,75,98,3.88,RU,1722657971
116,cabo san lucas,22.8909,-109.9124,32.61,58,47,3.58,MX,1722657971
117,port lincoln,-34.7333,135.8667,13.53,59,87,3.18,AU,1722657971
118,rio grande,-32.035,-52.0986,16.64,88,39,6.13,BR,1722657917
119,hamilton,39.1834,-84.5333,20.95,92,0,3.09,US,1722657793
120,brookings,44.3114,-96.7984,24.47,90,0,2.57,US,1722657971
121,altai,46.3722,96.2583,19.06,31,18,1.63,MN,1722657972
122,pamplona,42.8169,-1.6432,16.95,76,100,4.12,ES,1722657972
123,georgetown,5.4112,100.3354,31.97,55,20,4.12,MY,1722657908
124,badger,64.8,-147.5333,10.95,90,100,3.09,US,1722657972
125,harqalah,36.0303,10.509,30.92,37,20,1.54,TN,1722657972
126,buala,-8.145,159.5921,28.65,76,67,3.48,SB,1722657972
127,argo,37.6333,22.7333,23.77,45,0,1.76,GR,1722657972
128,ust-nera,64.5667,143.2,12.4,50,87,2.08,RU,1722657972
129,quepos,9.4236,-84.1652,25.23,87,100,1.71,CR,1722657973
130,nar'yan-mar,67.6713,53.087,18.21,62,8,7.71,RU,1722657974
131,sao joao da barra,-21.6403,-41.0511,22.38,75,15,5.76,BR,1722657974
132,santiago papasquiaro,25.046,-105.4208,20.78,61,74,1.43,MX,1722657974
133,afaahiti,-17.75,-149.2833,22.93,69,22,5.61,PF,1722657974
134,tolanaro,-25.0319,46.9987,18.04,88,40,0.0,MG,1722657974
135,kuching,1.55,110.3333,32.77,60,20,2.24,MY,1722657974
136,mount pearl,47.5166,-52.7813,12.75,95,100,5.66,CA,1722657974
137,eyl,7.9803,49.8164,26.35,65,71,11.56,SO,1722657974
138,florida city,25.4479,-80.4792,29.45,83,0,4.63,US,1722657891
139,ajaccio,42.0,8.9167,23.72,62,34,3.81,FR,1722657975
140,constitucion,-35.3333,-72.4167,10.03,91,47,3.25,CL,1722657975
141,arevalo,41.0626,-4.7204,18.26,73,0,1.72,ES,1722657976
142,tregunc,47.85,-3.85,18.33,95,87,4.62,FR,1722657976
143,al kharijah,25.4514,30.5464,31.25,25,28,4.29,EG,1722657977
144,akjoujt,19.6969,-14.4164,27.98,67,8,5.25,MR,1722657978
145,cururupu,-1.8283,-44.8683,22.03,94,27,0.67,BR,1722657978
146,kolonia,50.9333,6.95,18.11,85,45,0.86,DE,1722657979
147,qaqortoq,60.7167,-46.0333,7.74,71,0,1.1,GL,1722657979
148,alofi,-19.0595,-169.9187,24.94,61,75,5.14,NU,1722657979
149,lloydminster,53.2835,-110.0016,18.12,45,40,2.06,CA,1722657979
150,coquimbo,-29.9533,-71.3436,12.85,100,0,2.57,CL,1722657979
151,vila franca do campo,37.7167,-25.4333,21.23,99,6,1.94,PT,1722657980
152,whitehorse,60.7161,-135.0538,17.43,46,40,0.0,CA,1722657980
153,oeiras do para,-2.0031,-49.8544,23.47,75,10,1.85,BR,1722657980
154,karaidel',55.8337,56.9069,14.57,89,88,3.33,RU,1722657980
155,santa cruz,-17.8,-63.1667,24.7,78,0,7.72,BO,1722657980
156,melekeok village,7.4957,134.6367,33.31,62,75,5.14,PW,1722657980
157,el granada,37.5027,-122.4694,22.85,79,0,3.09,US,1722657980
158,jamestown,42.097,-79.2353,20.31,98,100,0.45,US,1722657980
159,yerofey pavlovich,53.9667,121.9667,22.55,34,100,2.5,RU,1722657981
160,hanzhong,33.0728,107.0303,30.68,68,82,0.7,CN,1722657797
161,mili,6.0815,171.735,28.66,73,3,4.68,MH,1722657981
162,barra de santo antonio,-9.4047,-35.5072,22.6,82,11,6.34,BR,1722657981
163,port alfred,-33.5906,26.891,13.03,81,0,3.44,ZA,1722657981
164,mazatlan,23.2167,-106.4167,28.98,79,75,2.57,MX,1722657981
165,mount vernon,40.9126,-73.8371,25.36,87,0,2.06,US,1722657981
166,safi,32.1667,-8.8333,20.99,73,9,4.94,MA,1722657981
167,kayangel,8.0823,134.7173,28.87,77,99,6.94,PW,1722657982
168,pangai,-19.8,-174.35,26.06,73,20,5.66,TO,1722657982
169,longyearbyen,78.2186,15.6401,11.91,94,0,0.0,SJ,1722657982
170,priob'ye,62.5206,65.5964,19.96,76,3,3.75,RU,1722657982
171,linhares,-19.3911,-40.0722,19.29,98,45,1.59,BR,1722657822
172,lompoc,34.6391,-120.4579,17.3,87,0,2.06,US,1722657982
173,dehui,44.5333,125.7,26.04,74,100,2.36,CN,1722657982
174,cole harbour,44.6724,-63.4751,21.66,93,57,1.54,CA,1722657982
175,coahuayana de hidalgo,18.7,-103.6583,26.12,85,100,0.93,MX,1722657983
176,gigant,46.5066,41.3419,23.69,53,2,3.22,RU,1722657983
177,lycksele,64.5954,18.6735,14.93,94,100,0.51,SE,1722657742
178,abaete,-19.16,-45.4458,17.79,59,0,1.71,BR,1722657983
179,chauk,20.8833,94.8167,28.53,74,98,6.05,MM,1722657983
180,revda,56.801,59.9303,16.71,79,84,3.37,RU,1722657983
181,aykhal,66.0,111.5,20.41,42,100,5.28,RU,1722657983
182,wailua homesteads,22.0669,-159.378,26.44,76,0,3.6,US,1722657983
183,howrah,22.5892,88.3103,27.0,94,100,4.12,IN,1722657983
184,raja,8.4596,25.678,20.14,95,94,1.79,SS,1722657983
185,nemuro,43.3236,145.575,18.99,83,62,6.04,JP,1722657984
186,ricany,49.9917,14.6543,13.76,94,0,2.06,CZ,1722657984
187,rongelap,11.1635,166.8941,28.74,77,12,4.27,MH,1722657984
188,awjilah,29.1081,21.2869,24.72,58,0,2.9,LY,1722657985
189,magadan,59.5667,150.8,12.82,59,88,1.87,RU,1722657985
190,ca mau,9.1769,105.15,33.28,53,82,2.91,VN,1722657985
191,gadzhiyevo,69.2551,33.3362,11.3,84,15,4.8,RU,1722657985
192,yinchuan,38.4681,106.2731,27.62,45,1,2.21,CN,1722657986
193,midvagur,62.0511,-7.1939,10.46,93,75,4.12,FO,1722657986
194,saynshand,44.8824,110.1163,25.86,39,75,6.67,MN,1722657986
195,maintirano,-18.0667,44.0167,19.98,68,1,2.38,MG,1722657986
196,shalqar,47.8333,59.6,27.99,25,94,6.93,KZ,1722657986
197,beyneu,45.3167,55.2,27.14,39,45,1.84,KZ,1722657986
198,bemidji,47.4736,-94.8803,17.81,97,0,0.0,US,1722657986
199,caburan,5.9181,125.6411,29.56,61,31,4.85,PH,1722657986
200,labrador city,52.9463,-66.9114,18.95,77,75,3.09,CA,1722657986
201,murmashi,68.8154,32.8115,13.23,82,75,2.0,RU,1722657987
202,barabinsk,55.3571,78.357,24.39,66,94,1.45,RU,1722657987
203,bialogard,54.007,15.9875,13.75,88,70,0.93,PL,1722657987
204,douglas,41.3,-96.167,25.9,80,0,0.45,US,1722657987
205,manta,-0.95,-80.7333,23.88,83,100,2.06,EC,1722657987
206,hlobyne,49.3878,33.2596,20.63,39,62,2.45,UA,1722657987
207,verkhovazh'ye,60.7472,42.0465,15.61,90,57,2.3,RU,1722657987
208,tandil,-37.3217,-59.1332,14.27,82,100,3.59,AR,1722657987
209,obo,5.3998,26.4869,19.24,97,76,1.16,CF,1722657988
210,manokwari,-0.8667,134.0833,28.47,68,36,2.69,ID,1722657988
211,nyalikungu,-3.1833,33.7833,17.05,59,74,4.1,TZ,1722657988
212,takoradi,4.8845,-1.7554,23.35,92,100,2.81,GH,1722657988
213,xilitla,21.3333,-98.9667,19.92,95,100,1.25,MX,1722657988
214,masuguru,-11.3667,38.4167,18.13,87,1,1.11,TZ,1722657988
215,alice springs,-23.7,133.8833,23.75,20,89,5.14,AU,1722657988
216,xai-xai,-25.0519,33.6442,17.19,72,0,1.52,MZ,1722657989
217,kuanda,56.3161,116.0806,22.48,60,95,0.47,RU,1722657989
218,vadso,70.0744,29.7487,12.49,87,100,6.69,NO,1722657989
219,hasaki,35.7333,140.8333,35.16,68,76,3.19,JP,1722657989
220,ranau,5.9538,116.6641,24.62,90,55,0.51,MY,1722657989
221,severo-yeniseyskiy,60.3725,93.0408,17.79,66,44,2.68,RU,1722657989
222,nchelenge,-9.3451,28.734,15.37,48,10,1.9,ZM,1722657989
223,yermentau,51.6214,73.1069,20.3,69,100,4.01,KZ,1722657989
224,puerto ayora,-0.7393,-90.3518,19.57,80,41,4.66,EC,1722657989
225,tanjung sepat,2.6579,101.5629,32.54,66,20,2.57,MY,1722657990
226,tara,56.8944,74.371,20.95,80,82,1.75,RU,1722657990
227,picos,-7.0769,-41.4669,18.7,61,8,0.96,BR,1722657990
228,sao jose da coroa grande,-8.8978,-35.1478,23.37,83,56,4.53,BR,1722657990
229,diplo,24.4667,69.584,28.8,80,100,7.23,PK,1722657990
230,leava,-14.3,-178.1667,27.34,76,35,5.89,WF,1722657990
231,mujiayingzi,42.1167,118.7833,27.84,64,85,0.84,CN,1722657990
232,qa'en,33.7265,59.1844,24.17,33,0,8.8,IR,1722657990
233,kanker,20.2719,81.4931,23.24,95,100,5.12,IN,1722657992
234,mandalgovi,45.7625,106.2708,18.46,59,76,6.59,MN,1722657992
235,la ronge,55.1001,-105.2842,18.14,52,40,2.06,CA,1722657992
236,carbonear,47.7332,-53.2148,13.47,93,97,3.25,CA,1722657992
237,maragogi,-9.0122,-35.2225,22.36,86,60,4.05,BR,1722657992
238,richards bay,-28.783,32.0377,17.3,87,22,1.36,ZA,1722657992
239,tamanrasset,22.785,5.5228,23.95,46,0,2.06,DZ,1722657992
240,weiser,44.251,-116.9693,31.54,23,75,1.73,US,1722657993
241,suez,29.9737,32.5263,26.41,57,0,3.18,EG,1722657993
242,hobyo,5.3505,48.5268,25.01,80,100,10.7,SO,1722657993
243,leninskoye,41.7589,69.3864,31.57,21,0,3.68,KZ,1722657993
244,booue,-0.0921,11.9385,21.91,86,49,1.84,GA,1722657993
245,kuqa,41.7278,82.9364,32.2,24,51,1.4,CN,1722657993
246,petropavlovsk-kamchatsky,53.0452,158.6483,21.33,60,75,3.0,RU,1722657993
247,kiama,-34.6833,150.8667,20.14,51,5,3.39,AU,1722657993
248,popasna,48.6333,38.378,20.53,35,90,1.3,UA,1722657993
249,susuman,62.7833,148.1667,13.01,39,97,1.87,RU,1722657994
250,tselinnoye,53.0833,85.6667,25.53,61,98,3.47,RU,1722657994
251,mogadishu,2.0371,45.3438,24.78,84,100,8.2,SO,1722657994
252,palapye,-22.546,27.1251,13.9,37,0,1.64,BW,1722657994
253,tabas,33.5959,56.9244,33.73,18,2,0.44,IR,1722657994
254,isangel,-19.55,169.2667,20.54,79,92,6.2,VU,1722657994
255,merida,20.9667,-89.6167,28.26,97,35,1.84,MX,1722657523
256,roccella ionica,38.322,16.4009,27.91,44,0,3.18,IT,1722657994
257,yamada,39.4667,141.95,27.62,70,31,3.4,JP,1722657995
258,huntingburg,38.2989,-86.955,23.13,100,20,1.54,US,1722657995
259,hoeryong,42.4428,129.7508,29.04,59,56,3.13,KP,1722657995
260,luderitz,-26.6481,15.1594,14.68,43,25,0.77,NA,1722657995
261,rikaze,29.25,88.8833,18.36,38,58,0.91,CN,1722657995
262,san jose de jachal,-30.2406,-68.7469,12.44,38,97,3.15,AR,1722657995
263,senak'i,42.2704,42.0675,22.05,78,46,1.65,GE,1722657995
264,amlame,7.4667,0.9,20.37,98,81,1.45,TG,1722657995
